MM-DD,Normalized Date,Card,System,Source,Confidence,Notes,Rank,Suit,Suit Order,Rank Order
05-18,2000-05-18,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
05-19,2000-05-19,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
05-20,2000-05-20,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
05-21,2000-05-21,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
05-22,2000-05-22,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
05-23,2000-05-23,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
05-24,2000-05-24,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
05-25,2000-05-25,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
05-26,2000-05-26,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
05-27,2000-05-27,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
05-28,2000-05-28,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
05-29,2000-05-29,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
05-30,2000-05-30,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
05-31,2000-05-31,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-01,2000-06-01,3 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Spades,1.0,3.0
06-02,2000-06-02,2 of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Spades,1.0,2.0
06-03,2000-06-03,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-04,2000-06-04,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-05,2000-06-05,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-06,2000-06-06,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-07,2000-06-07,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
06-08,2000-06-08,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
06-09,2000-06-09,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
06-10,2000-06-10,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
06-11,2000-06-11,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
06-12,2000-06-12,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
06-13,2000-06-13,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
06-14,2000-06-14,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
06-15,2000-06-15,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
06-16,2000-06-16,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-17,2000-06-17,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-18,2000-06-18,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-19,2000-06-19,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-20,2000-06-20,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
06-21,2000-06-21,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
06-22,2000-06-22,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
06-23,2000-06-23,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
06-24,2000-06-24,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
06-25,2000-06-25,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
06-26,2000-06-26,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
06-27,2000-06-27,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
06-28,2000-06-28,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
06-29,2000-06-29,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
06-30,2000-06-30,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-01,2000-07-01,Ace of Spades,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-02,2000-07-02,King of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-03,2000-07-03,Queen of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-04,2000-07-04,Jack of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-05,2000-07-05,10 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Hearts,4.0,10.0
07-06,2000-07-06,9 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Hearts,4.0,9.0
07-07,2000-07-07,8 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Hearts,4.0,8.0
07-08,2000-07-08,7 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Hearts,4.0,7.0
07-09,2000-07-09,6 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Hearts,4.0,6.0
07-10,2000-07-10,5 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Hearts,4.0,5.0
07-11,2000-07-11,4 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Hearts,4.0,4.0
07-12,2000-07-12,3 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Hearts,4.0,3.0
07-13,2000-07-13,2 of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Hearts,4.0,2.0
07-14,2000-07-14,Ace of Hearts,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-15,2000-07-15,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-16,2000-07-16,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-17,2000-07-17,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-18,2000-07-18,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
07-19,2000-07-19,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
07-20,2000-07-20,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
07-21,2000-07-21,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
07-22,2000-07-22,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
07-23,2000-07-23,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
07-24,2000-07-24,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
07-25,2000-07-25,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
07-26,2000-07-26,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
07-27,2000-07-27,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-28,2000-07-28,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-29,2000-07-29,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-30,2000-07-30,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
07-31,2000-07-31,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
08-01,2000-08-01,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-02,2000-08-02,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-03,2000-08-03,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
08-04,2000-08-04,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
08-05,2000-08-05,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
08-06,2000-08-06,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
08-07,2000-08-07,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
08-08,2000-08-08,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
08-09,2000-08-09,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
08-10,2000-08-10,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
08-11,2000-08-11,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
08-12,2000-08-12,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-13,2000-08-13,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-14,2000-08-14,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-15,2000-08-15,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-16,2000-08-16,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
08-17,2000-08-17,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
08-18,2000-08-18,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
08-19,2000-08-19,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
08-20,2000-08-20,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
08-21,2000-08-21,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
08-22,2000-08-22,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
08-23,2000-08-23,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
08-24,2000-08-24,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
08-25,2000-08-25,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-26,2000-08-26,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-27,2000-08-27,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-28,2000-08-28,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
08-29,2000-08-29,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
08-30,2000-08-30,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
08-31,2000-08-31,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-01,2000-09-01,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
09-02,2000-09-02,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
09-03,2000-09-03,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-04,2000-09-04,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
09-05,2000-09-05,6 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Diamonds,2.0,6.0
09-06,2000-09-06,5 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Diamonds,2.0,5.0
09-07,2000-09-07,4 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Diamonds,2.0,4.0
09-08,2000-09-08,3 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Diamonds,2.0,3.0
09-09,2000-09-09,2 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Diamonds,2.0,2.0
09-10,2000-09-10,Ace of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-11,2000-09-11,King of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-12,2000-09-12,Queen of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-13,2000-09-13,Jack of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-14,2000-09-14,10 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Clubs,3.0,10.0
09-15,2000-09-15,9 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Clubs,3.0,9.0
09-16,2000-09-16,8 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Clubs,3.0,8.0
09-17,2000-09-17,7 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Clubs,3.0,7.0
09-18,2000-09-18,6 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,6,Clubs,3.0,6.0
09-19,2000-09-19,5 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,5,Clubs,3.0,5.0
09-20,2000-09-20,4 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,4,Clubs,3.0,4.0
09-21,2000-09-21,3 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,3,Clubs,3.0,3.0
09-22,2000-09-22,2 of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,2,Clubs,3.0,2.0
09-23,2000-09-23,Ace of Clubs,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-24,2000-09-24,King of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-25,2000-09-25,Queen of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-26,2000-09-26,Jack of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,,,,
09-27,2000-09-27,10 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,10,Diamonds,2.0,10.0
09-28,2000-09-28,9 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,9,Diamonds,2.0,9.0
09-29,2000-09-29,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
09-30,2000-09-30,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
10-01,2000-10-01,8 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,8,Diamonds,2.0,8.0
10-02,2000-10-02,7 of Diamonds,Seven Reflections Destiny Cards System,Seven Reflections Destiny Cards System,High,Imported from Seven Reflections Destiny Cards System day-card calendar (TypeScript mapping).,7,Diamonds,2.0,7.0
